Q0,Q1,Q2,Q3,Timestamp
0.701407,-0.562319,0.48854,-0.294396,2025-07-15T00:00:00
0.561063,0.12671,-0.600172,-0.331696,2025-07-15T01:00:00
0.262413,-0.383518,0.231366,-0.07431,2025-07-15T02:00:00
-0.742097,-0.239579,-0.197644,0.710421,2025-07-15T03:00:00
0.954194,0.816377,0.794926,0.356793,2025-07-15T04:00:00
0.593501,-0.979099,0.772917,0.534504,2025-07-15T05:00:00
0.736479,0.456193,-0.547638,0.994522,2025-07-15T06:00:00
-0.928137,0.123678,-0.836175,0.112435,2025-07-15T07:00:00
-0.395133,0.328098,0.167909,0.664012,2025-07-15T08:00:00
-0.13672,-0.350426,0.829408,0.234927,2025-07-15T09:00:00
-0.269841,0.794243,0.696049,0.220178,2025-07-15T10:00:00
0.802887,0.585179,-0.583601,0.694261,2025-07-15T11:00:00
-0.88949,-0.603277,-0.734083,-0.689139,2025-07-15T12:00:00
0.511882,0.540409,0.468732,0.678538,2025-07-15T13:00:00
0.520194,-0.431056,-0.998095,-0.189221,2025-07-15T14:00:00
0.287597,-0.58556,-0.427048,-0.50142,2025-07-15T15:00:00
-0.269474,-0.274272,-0.657129,0.705679,2025-07-15T16:00:00
0.185198,0.190346,-0.344535,-0.526094,2025-07-15T17:00:00
-0.2138,-0.208693,0.479229,0.842847,2025-07-15T18:00:00
-0.400439,0.281644,0.284201,0.809508,2025-07-15T19:00:00
-0.645431,-0.227416,0.299822,-0.790741,2025-07-15T20:00:00
-0.535245,-0.646425,-0.463309,-0.788155,2025-07-15T21:00:00
-0.532612,0.399493,-0.115032,0.265352,2025-07-15T22:00:00
-0.284954,-0.503722,-0.165171,0.0367,2025-07-15T23:00:00
0.989497,-0.474183,-0.631585,0.456726,2025-07-16T00:00:00
-0.846397,0.689347,-0.930465,-0.355709,2025-07-16T01:00:00
-0.515104,-0.313804,-0.499915,0.929523,2025-07-16T02:00:00
-0.517444,-0.937234,-0.187912,0.575224,2025-07-16T03:00:00
-0.754565,-0.032366,-0.719721,-0.473882,2025-07-16T04:00:00
-0.697696,0.347396,0.29258,-0.634326,2025-07-16T05:00:00
0.985627,-0.833606,0.370402,0.553603,2025-07-16T06:00:00
-0.774881,0.839835,-0.593595,0.927577,2025-07-16T07:00:00
0.533366,0.760258,-0.537415,-0.893082,2025-07-16T08:00:00
-0.473777,-0.739958,0.027423,-0.736822,2025-07-16T09:00:00
0.538238,-0.151212,-0.434057,0.849943,2025-07-16T10:00:00
-0.259657,-0.807429,0.240936,0.83506,2025-07-16T11:00:00
-0.636209,-0.858697,0.380747,0.478302,2025-07-16T12:00:00
0.686793,-0.131405,0.521794,-0.572359,2025-07-16T13:00:00
-0.449946,0.603007,0.251562,-0.67121,2025-07-16T14:00:00
0.42299,-0.72065,-0.181194,0.556693,2025-07-16T15:00:00
0.759714,-0.257273,0.293277,0.652728,2025-07-16T16:00:00
0.951914,0.495337,0.316908,-0.847721,2025-07-16T17:00:00
-0.374439,0.75529,0.962212,-0.805971,2025-07-16T18:00:00
-0.718844,-0.35377,0.785464,-0.012716,2025-07-16T19:00:00
0.030857,0.985486,0.436912,0.101616,2025-07-16T20:00:00
-0.7219,0.215018,0.752311,0.042918,2025-07-16T21:00:00
0.076631,-0.746245,-0.616418,-0.658301,2025-07-16T22:00:00
-0.434975,-0.203907,0.973369,-0.333349,2025-07-16T23:00:00
-0.403822,0.589184,-0.085139,0.512337,2025-07-17T00:00:00
-0.228918,-0.47884,-0.28736,0.648158,2025-07-17T01:00:00
0.938566,0.855501,0.782235,-0.266879,2025-07-17T02:00:00
-0.279609,-0.129091,0.655039,-0.041798,2025-07-17T03:00:00
0.511573,0.385987,0.094155,0.231812,2025-07-17T04:00:00
-0.938559,0.265999,-0.690177,0.35531,2025-07-17T05:00:00
-0.444073,-0.612972,0.390856,-0.592895,2025-07-17T06:00:00
0.552463,-0.710882,0.910416,0.499036,2025-07-17T07:00:00
0.659234,-0.877111,-0.002248,-0.216524,2025-07-17T08:00:00
-0.520581,0.971799,0.683165,0.952898,2025-07-17T09:00:00
-0.956882,0.155457,0.547845,-0.754032,2025-07-17T10:00:00
0.096439,-0.379267,0.715078,0.545044,2025-07-17T11:00:00
0.554451,0.074547,0.798646,-0.006141,2025-07-17T12:00:00
0.742048,-0.197174,0.762616,-0.1731,2025-07-17T13:00:00
0.714804,0.856019,-0.017584,0.944412,2025-07-17T14:00:00
-0.890887,0.896,0.601871,-0.94696,2025-07-17T15:00:00
0.669034,0.499721,-0.212076,0.442488,2025-07-17T16:00:00
-0.305389,0.622033,0.244086,-0.328755,2025-07-17T17:00:00
-0.662591,0.664369,0.596365,-0.237363,2025-07-17T18:00:00
0.341364,-0.232391,0.484596,0.033452,2025-07-17T19:00:00
0.294097,-0.867001,0.741375,0.07106,2025-07-17T20:00:00
-0.717766,-0.257602,-0.654947,-0.208705,2025-07-17T21:00:00
0.55207,0.852808,0.85412,0.905818,2025-07-17T22:00:00
-0.121743,0.674081,0.981453,-0.033954,2025-07-17T23:00:00
-0.696173,0.39611,0.013461,0.888911,2025-07-18T00:00:00
0.326253,0.507899,0.675393,0.19635,2025-07-18T01:00:00
0.337817,0.695638,0.853403,-0.070092,2025-07-18T02:00:00
-0.710686,0.974588,-0.974115,0.761497,2025-07-18T03:00:00
0.003412,-0.194643,-0.576139,-0.981758,2025-07-18T04:00:00
0.533313,-0.920436,0.477305,0.664843,2025-07-18T05:00:00
-0.498896,-0.376545,0.270574,-0.56461,2025-07-18T06:00:00
-0.496578,0.42042,0.43284,-0.508007,2025-07-18T07:00:00
-0.562631,-0.222072,0.779336,0.936894,2025-07-18T08:00:00
0.822185,-0.403939,-0.578191,0.692918,2025-07-18T09:00:00
0.494247,-0.264567,0.223817,-0.013395,2025-07-18T10:00:00
-0.333459,-0.388175,0.926125,-0.086579,2025-07-18T11:00:00
-0.86435,-0.722088,0.724334,-0.6708,2025-07-18T12:00:00
0.312283,0.818748,0.406146,-0.005735,2025-07-18T13:00:00
0.40957,-0.582612,-0.63462,-0.409411,2025-07-18T14:00:00
0.334538,-0.086875,-0.766619,-0.99067,2025-07-18T15:00:00
0.189118,0.656572,0.289905,0.790286,2025-07-18T16:00:00
-0.694883,0.601374,0.728012,0.956654,2025-07-18T17:00:00
0.617147,0.31679,-0.444939,0.449787,2025-07-18T18:00:00
-0.353894,0.84198,-0.353801,-0.162367,2025-07-18T19:00:00
-0.368086,-0.87074,0.428814,0.51225,2025-07-18T20:00:00
-0.592168,-0.541944,0.508063,0.447916,2025-07-18T21:00:00
-0.615686,-0.225741,-0.573369,0.288997,2025-07-18T22:00:00
-0.865516,0.08184,-0.915432,0.46168,2025-07-18T23:00:00
0.944826,-0.804363,-0.574061,-0.194984,2025-07-19T00:00:00
-0.399595,-0.097519,-0.51306,0.662281,2025-07-19T01:00:00
0.893029,-0.909205,-0.384937,-0.170045,2025-07-19T02:00:00
-0.911347,-0.525326,-0.112843,0.191039,2025-07-19T03:00:00
-0.976408,0.845184,0.754681,0.189849,2025-07-19T04:00:00
0.507427,-0.371614,0.860497,-0.826053,2025-07-19T05:00:00
0.481285,-0.780985,0.974715,-0.738281,2025-07-19T06:00:00
-0.57928,0.10632,0.862123,0.659299,2025-07-19T07:00:00
-0.38809,0.517291,-0.267372,0.174278,2025-07-19T08:00:00
-0.239049,0.636598,0.338181,0.764095,2025-07-19T09:00:00
-0.413397,-0.59365,0.595612,-0.656005,2025-07-19T10:00:00
-0.487533,-0.340525,0.591246,-0.170286,2025-07-19T11:00:00
-0.929217,-0.091429,-0.830915,-0.233955,2025-07-19T12:00:00
0.627745,0.453736,0.254447,0.170795,2025-07-19T13:00:00
0.93327,0.565836,0.956525,-0.105575,2025-07-19T14:00:00
0.560661,0.129178,-0.428242,-0.374756,2025-07-19T15:00:00
0.20989,-0.659113,-0.434542,-0.331724,2025-07-19T16:00:00
0.511624,0.960748,-0.210137,0.142285,2025-07-19T17:00:00
-0.111708,0.64945,0.369784,0.380964,2025-07-19T18:00:00
-0.935552,-0.167984,0.289917,0.815022,2025-07-19T19:00:00
0.915285,0.329467,0.519471,-0.351467,2025-07-19T20:00:00
-0.857023,-0.392412,-0.643628,-0.958545,2025-07-19T21:00:00
-0.138034,0.791988,0.21406,0.69939,2025-07-19T22:00:00
0.618618,-0.745553,-0.634657,-0.004909,2025-07-19T23:00:00
0.50998,-0.161962,-0.80043,-0.40991,2025-07-20T00:00:00
0.657377,0.569323,0.170151,0.352049,2025-07-20T01:00:00
-0.552545,-0.053625,-0.029176,-0.860055,2025-07-20T02:00:00
-0.416049,-0.890958,-0.058803,-0.419639,2025-07-20T03:00:00
-0.252941,0.748692,-0.204268,0.476585,2025-07-20T04:00:00
-0.181998,0.861257,0.305245,0.722431,2025-07-20T05:00:00
0.863319,-0.638176,-0.306089,-0.795154,2025-07-20T06:00:00
